,id,age,gender,height,weight,ap_hi,ap_lo,cholesterol,gluc,smoke,alco,active,cardio,bmi,pulse_pressure,bp_category,unhealthy_score
id,1.0,0.003119345263801054,0.0029895496992326637,-0.0027645023902592076,-0.0015420031888462042,0.0012427516520085676,0.00012828974687238516,0.005696855986514854,0.002240106873875702,-0.003688036568873226,0.00034826862252620896,0.003978582923824951,0.0035622630000981498,-0.000601489801271453,0.001673287180677742,0.001475221231711629,-0.00448919827993824
age,0.003119345263801054,1.0,-0.023356197671147296,-0.08667204179839455,0.05587590955530689,0.20958802610567379,0.15660455947346671,0.15554076474754783,0.09894160392534747,-0.04802616568929244,-0.02887491474160139,-0.010533490348576983,0.23908151983436549,0.10436499549817962,0.17319162343315206,0.18484182393867846,-0.028041930038654544
gender,0.0029895496992326637,-0.023356197671147296,1.0,0.523272667276844,0.156631584780484,0.06204653296898705,0.06733563585141308,-0.03676608957594256,-0.021238942464234356,0.3388727602484462,0.17144468426450074,0.005974275322764933,0.006986850475740172,-0.11177441212299052,0.03433209498773093,0.06850004852772425,0.2329280252782017
height,-0.0027645023902592076,-0.08667204179839455,0.523272667276844,1.0,0.3098428139655507,0.01723317026516783,0.035094177565998405,-0.05618637412506684,-0.021100583607928155,0.1967179754042824,0.09831220897896631,-0.00981924693409526,-0.012879319729506568,-0.1943872806858466,-0.0037031463018801225,0.03828861500213132,0.1440396723741482
weight,-0.0015420031888462042,0.05587590955530689,0.156631584780484,0.3098428139655507,1.0,0.2703302875271078,0.2532348458617392,0.1414991982505458,0.10758561906604465,0.06703341553917228,0.06747770608658894,-0.017546321389699204,0.17984082085738787,0.8678273824310717,0.1819994592925304,0.23897204492511964,0.07248551722955454
ap_hi,0.0012427516520085676,0.20958802610567379,0.06204653296898705,0.01723317026516783,0.2703302875271078,1.0,0.7346217666682904,0.19520173764857834,0.0939204005897938,0.02759026424326964,0.03546922831527559,-0.001202843501321313,0.4282641380022276,0.2699794837641656,0.8365032363549255,0.7913659318978522,0.028668558968766657
ap_lo,0.00012828974687238516,0.15660455947346671,0.06733563585141308,0.035094177565998405,0.2532348458617392,0.7346217666682904,1.0,0.1615986534152956,0.0744235811803837,0.025063393885085952,0.03711874869157187,-0.000565029677200425,0.34079015543504404,0.2432965161961337,0.2427339550302188,0.792709072964078,0.0276137808455837
cholesterol,0.005696855986514854,0.15554076474754783,-0.03676608957594256,-0.05618637412506684,0.1414991982505458,0.19520173764857834,0.1615986534152956,1.0,0.4503964642521856,0.009969316803255685,0.0351373141556273,0.008632008340724317,0.2214209576376975,0.1738749071972412,0.1485885593457183,0.1580912347257499,0.012852880428071378
gluc,0.002240106873875702,0.09894160392534747,-0.021238942464234356,-0.021100583607928155,0.10758561906604465,0.0939204005897938,0.0744235811803837,0.4503964642521856,1.0,-0.0058809074845364165,0.010164638352084752,-0.008117283852442486,0.0892645565499307,0.12090248562344627,0.07418118823868812,0.07702574555534111,0.00677406351216154
smoke,-0.003688036568873226,-0.04802616568929244,0.3388727602484462,0.1967179754042824,0.06703341553917228,0.02759026424326964,0.025063393885085952,0.009969316803255685,-0.0058809074845364165,1.0,0.340582379351927,0.025075610872098787,-0.016370647986663003,-0.03349644438409014,0.01920674518789517,0.019827343630925785,0.6166479082331631
alco,0.00034826862252620896,-0.02887491474160139,0.17144468426450074,0.09831220897896631,0.06747770608658894,0.03546922831527559,0.03711874869157187,0.0351373141556273,0.010164638352084752,0.340582379351927,1.0,0.024661127468228437,-0.008521312872520094,0.017565740230232278,0.020735833341910297,0.02693906114827274,0.5489238262402033
active,0.003978582923824951,-0.010533490348576983,0.005974275322764933,-0.00981924693409526,-0.017546321389699204,-0.001202843501321313,-0.000565029677200425,0.008632008340724317,-0.008117283852442486,0.025075610872098787,0.024661127468228437,1.0,-0.03763740352007467,-0.013496988181268849,-0.001263499455723491,-0.0026935620376307883,-0.6779039169795743
cardio,0.0035622630000981498,0.23908151983436549,0.006986850475740172,-0.012879319729506568,0.17984082085738787,0.4282641380022276,0.34079015543504404,0.2214209576376975,0.0892645565499307,-0.016370647986663003,-0.008521312872520094,-0.03763740352007467,1.0,0.1915397892134746,0.337102057924561,0.3765887043316416,0.014804152277584425
bmi,-0.000601489801271453,0.10436499549817962,-0.11177441212299052,-0.1943872806858466,0.8678273824310717,0.2699794837641656,0.2432965161961337,0.1738749071972412,0.12090248562344627,-0.03349644438409014,0.017565740230232278,-0.013496988181268849,0.1915397892134746,1.0,0.1895244241707521,0.22765709091060485,-0.0003152656691502709
pulse_pressure,0.001673287180677742,0.17319162343315206,0.03433209498773093,-0.0037031463018801225,0.1819994592925304,0.8365032363549255,0.2427339550302188,0.1485885593457183,0.07418118823868812,0.01920674518789517,0.020735833341910297,-0.001263499455723491,0.337102057924561,0.1895244241707521,1.0,0.4912828256022959,0.018688718617363265
bp_category,0.001475221231711629,0.18484182393867846,0.06850004852772425,0.03828861500213132,0.23897204492511964,0.7913659318978522,0.792709072964078,0.1580912347257499,0.07702574555534111,0.019827343630925785,0.02693906114827274,-0.0026935620376307883,0.3765887043316416,0.22765709091060485,0.4912828256022959,1.0,0.022457261927781757
unhealthy_score,-0.00448919827993824,-0.028041930038654544,0.2329280252782017,0.1440396723741482,0.07248551722955454,0.028668558968766657,0.0276137808455837,0.012852880428071378,0.00677406351216154,0.6166479082331631,0.5489238262402033,-0.6779039169795743,0.014804152277584425,-0.0003152656691502709,0.018688718617363265,0.022457261927781757,1.0
